Local time,Open,High,Low,Close,Volume
06.10.2015 23:00:00.000 GMT+0200,16805.982,16963.926,16764.746,16907.156,23.748400000000004
07.10.2015 23:00:00.000 GMT+0200,16799.536,17079.913,16777.759,17048.685,10.5173
08.10.2015 23:00:00.000 GMT+0200,17081.849,17121.455,17005.825,17086.946,12.8174
09.10.2015 23:00:00.000 GMT+0200,17086.946,17086.946,17086.946,17086.946,0
10.10.2015 23:00:00.000 GMT+0200,17086.946,17086.946,17086.946,17086.946,0
11.10.2015 23:00:00.000 GMT+0200,17084.873,17138.274,17062.471,17126.540,12.9972
12.10.2015 23:00:00.000 GMT+0200,17115.987,17169.995,17014.899,17079.550,23.812600000000003
13.10.2015 23:00:00.000 GMT+0200,17063.986,17112.479,16889.720,16923.584,26.1663
14.10.2015 23:00:00.000 GMT+0200,17008.987,17147.843,16935.021,17147.605,10.1718
15.10.2015 23:00:00.000 GMT+0200,17145.879,17217.407,17105.176,17210.117,8.041
16.10.2015 23:00:00.000 GMT+0200,17210.117,17210.117,17210.117,17210.117,0
17.10.2015 23:00:00.000 GMT+0200,17210.117,17210.117,17210.117,17210.117,0
18.10.2015 23:00:00.000 GMT+0200,17171.108,17233.709,17125.955,17231.259,7.2543999999999995
19.10.2015 23:00:00.000 GMT+0200,17182.714,17261.997,17140.831,17229.485,13.5562
20.10.2015 23:00:00.000 GMT+0200,17264.678,17313.990,17153.607,17173.093,24.965899999999998
21.10.2015 23:00:00.000 GMT+0200,17175.903,17507.996,17161.550,17490.877,41.2902
22.10.2015 23:00:00.000 GMT+0200,17537.925,17679.991,17505.643,17648.860,41.152
23.10.2015 23:00:00.000 GMT+0200,17648.860,17648.860,17648.860,17648.860,0
24.10.2015 23:00:00.000 GMT+0200,17648.860,17648.860,17648.860,17648.860,0
25.10.2015 22:00:00.000 GMT+0100,17593.823,17663.696,17566.390,17620.773,34.82020000000001
